2,REAL,BP7,давление в контуре А (real),
6,REAL,BP8,давление в контуре В (real),
10,REAL,BP9,давление в контуре С (real),
14,REAL,BP10,давление управления насосом (real),
18,REAL,BP11,давление управления мотором (real),
22,REAL,BP12,давление/разряжение всасывания насосом (real),
26,REAL,BP13,давление в дренаже насоса (real),
30,REAL,BP14,давление 1 (real),
34,REAL,BP15,давление 2 (real),
38,REAL,BV5,расход контура А до 36 л/мин (real),
42,REAL,BV6,расход контура В до 240 л/мин (real),
46,REAL,BV7,расход контура С до 600 л/мин (real),
50,REAL,BV8,расход в дренаже до 3,6 л/мин (real)
54,REAL,BV9,расход в дренаже до 15 л/мин (real),
58,REAL,BV10,расход в дренаже до 90 л/мин (real),
62,REAL,BT2,температура масла на всасывании (real),
66,REAL,BT3,температура масла на модуле питания (real),
70,REAL,BL1,уровень масла модуля питания (real),
74,REAL,DM1,крутящий момент Нм (real),
78,REAL,DR1,частота вращения об/мин (real),
82,REAL,R2,задание регулировки давления насоса (real),
86,REAL,R3,задание регулировки расхода насоса (real),
90,REAL,reserv1,,
94,REAL,reserv2,,
98,REAL,reserv3,,
102,WORD,Och_M,ошибка масштабирования,
104,REAL,YB7,задание давления в контуре А (real),
108,REAL,YB8,задание давления в контуре В (real),
112,REAL,YB9,задание давления в контуре С (real),
116,REAL,YB10,задание давления управления насосом (real),
120,REAL,YB11,задание на гидромотор 450-1200мА (real),
124,REAL,YB12,задание давления на насос (real),
128,REAL,YB13,задание расхода на насос (real),
132,REAL,reserv4,,
136,REAL,reserv5,,
140,WORD,Och_DM,ошибка демасштабирования,
