2;BOOL;SP16_warning;загрязнен фильтр в контуре А
2.1;BOOL;SP17_warning;загрязнен фильтр в контуре В
2.2;BOOL;SP18_warning;загрязнен фильтр в контуре С
2.3;BOOL;SP19_warning;загрязнен фильтр линии упр.
2.4;BOOL;SP20_warning;загрязнен фильтр линии утечек
2.5;BOOL;SP21_warning;загрязнен фильтр контура охлаждения
2.6;BOOL;SP22_warning;загрязнен фильтр линии слива
2.7;BOOL;SP23_warning;нет давления в пн/системе
3;BOOL;SP24_warning;загрязнен фильтр дренажа
3.1;BOOL;SP25_warning;загрязнен фильтр контрол-го дренажа
3.2;BOOL;SQ16_warning;кран на подкл-ние всасывающей линии - закрыт
3.3;BOOL;SQ17_warning;кран на подкл-ние дренажной линии - закрыт
3.4;BOOL;SQ18_warning;кран на отключение всасывающей линии - закрыт
3.5;BOOL;SQ19_warning;кран закрытие дренажной линии - закрыт
3.6;BOOL;SQ20_warning;нет закрытия защитного кожуха
3.7;BOOL;SQ21_warning;нет закрытия кожуха муфты
4;BOOL;Q_NO_Istablished;Расход в регуляторе не установился
4.1;BOOL;P_NO_Istablished;Давление в регуляторе не установилось
4.2;BOOL;OP40_Q_Nul;Расход в нуле
4.3;BOOL;OP40_P_Nul;Давленине в нуле
4.4;BOOL;OP40_Qr_NO_Dopusk;Расход рабочий не в допуске (функц-ние)
4.5;BOOL;OP41_Qr_NO_Dopusk;Расход рабочий не в допуске (прочность)
4.6;BOOL;OP42_Qr_NO_Dopusk;Расход рабочий не в допуске (гермет-ть)
4.7;BOOL;OP48_Qd_NO_Dopusk;Расход в дренаже не в допуске
